리뷰,평점,긍정부정,리뷰길이
진짜 머리 감고 나면 너무 너무 간지러워 요상쾌함이 오래가지도 못하고 냄새도 빨리 나요,1,n,52
비듬 생겼어요 어쩐지간지럽더라 개나 샀는데 누구 주지도 못하고 아오,1,n,50
뚜껑 펌프 고장 났네요 아무리 눌러도 안 나와서 뚜껑 열고 사용하다 방치했어요,1,n,40
머리카락에 부담이 안 되고 머리 피부에 부담이 안 되니 좋죠,1,n,27
샴푸는 사용해보고 살수가 없으니 오랜 기간 동안 고민했고 리뷰들도 꼼꼼히 보았는데 저와 같은 두피 고민이 해결되었다는 내용이 꽤 있어 구매를 결심하게 됐습니다 그런데 일단 결과적으로 저에게는 너무나 안 맞아서 속상하게도 하루도 더 사용할 수가 없네요 제두피 상태는 수분 부족 지성으로 알고 있어 요건조해서 가렵고 각질이 일어나지만 샴푸를 하루만 걸러도 기름지고 답답하고 이틀이 되면 모근 부분이 자극이 되어 아프거든요제가 메디올 샴푸를 쓰고 느낀 점은 세정력이 부족하고 유분이 너무 많다는 거예요 거품은 적당히 풍부하고 머릿결은 개선되는 듯 보였지만 다음날 자고 일어났을 때 베개가 정말 눈밭이 되어 있는 걸 보고 자기 혐오를 느끼고 말았습니다 그리고 사실 첫 펌핑했을 때 향도 조금 거부감이 들었어요 개나 사버렸으니 잘 맞았다면 정말 좋았겠지만 아무래도 당근행이 될 거 같아 요광고도 요즘 정말 많이 보이고 찬양 글도 워낙 많던데 당연히 저처럼 안 맞는 사람도 꽤 있겠죠 누군가에겐 참고가 되었으면 좋겠습니다,1,n,510
신랑이 비듬이 갑자기 생겨서 약국에서 파는 니조랄 쓰다가 똑 떨어져서 이걸로 주문해봤어요 효과는 전혀 없습니다 없던 비듬이 더 생긴 듯 하네요 저 두 써본 결과 비듬이 생겨버렸네요 샴푸 거품은 조금만 사용해도 풍성합니다 재구매 의사입니다,1,n,129
아이머리가 타샴푸에 비해 리뷰처럼 탁월하게 세정력이 좋진 않습니다 거품 내고분이 상 놔둬도 별 효과 없네 요리뷰 보고 대량 구매한 제 탓이죠,1,n,77
예전 생각나서 구매했는데 지루성 두피염에 효과는 없네요,1,n,29
배송포장에 신경 좀 써주세요 …충전재라도 좀 채워서 보내주시지 펌프가 부러진 채로 와서 뚜껑 열고 써야겠네요 반품하려다가 번거로워서…,1,n,75
광고에 비해 제품은 다이소 샴푸급 비추천,1,n,18
펌핑 부분이 고장 나서 배송됐네요 쓰기에 불편하고 향도 생각보다 별로 네요,1,n,41
쓸수록 너무 좋아용,1,n,10
라이브 특가할 때 써보고 반품된다 해서 구매했어요 근데 지루성 두피염인데 차도가 없어요 더 안 조은거 같기도 해서 좀 더 써보고 반품하든지 해야겠어요,1,n,81
작년에 구입한 것과 유통기한 같네요,1,n,22
뚜껑다 깨져서 왔어요,1,n,12
귀찮아서 그냥 씁니다,1,n,12
광고효과를 넘기대 했네요 지루성 피부이긴 한데 딱 두 번 쓰고 헤어라인에 뾰루지엄청 올라왔어요 머리도 더 떡지고 사람마다 개인차가 있나 봐요,1,n,82
샴푸 중에 최악이네요샴푸만 하고 나면 손에 유분이 빠저서 거칠어지고 핸드크림 안바르면 안됨일가량 사용했는데 머리는 더 빠지고 나는 포기 기존에 쓰던 샴푸가 젤 좋음,1,n,73
지루성 두피염이 있어 이샴푸를 사용해 본 결과 좋아지는 느낌 없이 쓰면 쓸수록 탈모가 더 심해지는 것 같아 매우 실망입니다 다른 샴푸 써야겠네요,1,n,79
펌프가 나오질 안네요 그냥 쓰겠지만 처음 주문한 건데 불량용 기여서 짜증납니다 부어서 썼어요,1,n,46
냄새가 꼭 소나무 송진 냄새 같습니다 그리고 탈모 증상에 효과가 있는지는 잘 모르겠습니다 얼마 쓰다가 못 쓰겠네요 그냥 샴푸가 더 좋은 것 같아서 다시 샀습니다 이건 목욕탕에 그냥 방치중,1,n,111
구매 후기 보고 샀는데 영내 취향이 아니네요햐이 저에겐 별로입니다 머리 가려워서 감았는데 자꾸 가렵고 넘저하고 안 맞네요,1,n,66
제품 펌핑 캡에 비닐 포장이 없고 제품 자체에 전체적으로 비닐 포장이 되어 있지 않아서 내용물이 다 쏟아졌습니다 비닐이 다 뜯어서 와서 누가 사용하신 것 같네요 샴푸인데 포장이 너무 허술한 상태라 참 당황스럽네요,1,n,115
포장 잘 부탁한다고 말했는데 하나가 뚜껑이 깨져서 오고 새 서왔네요 교환할까 하다가 그냥 참네요,1,n,53
용기가 터져서 배송되었네요 하지만 제품은 좋아요,1,n,30
성분보고 좋아서 산 건데 원래 쓰던 마트에 파는 체리블라썸보다 별로 안 빠지던 머리 잘 빠지고 거품 잘 안남,1,n,56
지성용은 절대 쓰디마세요각질 더 생김,1,n,20
모발이 너무 뻣뻣해져요,1,n,14
기름져서 전 맞지 않은 듯해요,1,n,14
제 머리에는 떡지네요,1,n,13
펌프가 깨진 것이 왔네요,1,n,11
디렉터 파이님 믿고 샀는데 정말 별로네 요 너무 끈적거리고 감고 나도 머리가 잘 손이 안 들어가요 좀 돈이 아깝네요 아쉽습니다,1,n,74
머리 너무 가렵고 다시는 안 써 요 머리도 너무 많이 빠져요,1,n,33
펌핑기가 안 열려서 못 쓰고 있어요 아무리 돌려도 목이 짧아 쓸 수가 없어요,1,n,41
좋다고 해서 구매했는데 저는 트러블 생기고 간지러워요,1,n,28
트리트먼트는 좋았는데 샴푸는 별로 네요,1,n,19
